iter	RMSE
0	0.4446784663
1	0.4089715735
2	0.3896849221
3	0.3770322393
4	0.3670128063
5	0.3607852692
6	0.3572343093
7	0.3536719266
8	0.3521348141
9	0.3499394867
10	0.3488498456
11	0.3478635263
12	0.3471103163
13	0.3466005387
14	0.3463535661
15	0.3459554414
16	0.3457848598
17	0.3450515399
18	0.3440237381
19	0.3438602543
20	0.3435799883
21	0.3432827255
22	0.3429340927
23	0.3423810387
24	0.3420652246
25	0.3414748336
26	0.3408637963
27	0.340454526
28	0.3392813908
29	0.3379858719
30	0.3375051385
31	0.3373025041
32	0.33698113
33	0.3363393639
34	0.3359139722
35	0.3352135396
36	0.3347678367
37	0.333215643
38	0.3329121388
39	0.3319339898
40	0.3316591561
41	0.3308862741
42	0.3304727151
43	0.3296702343
44	0.3286976431
45	0.3283358307
46	0.3278526832
47	0.3277496777
48	0.3270041136
49	0.326304462
50	0.3261524546
51	0.3254330173
52	0.3247220214
53	0.3241851105
54	0.3239986472
55	0.323771016
56	0.3231838694
57	0.3227384302
58	0.3223946133
59	0.3219362279
60	0.3213994033
61	0.3206775017
62	0.3205304761
63	0.3203999858
64	0.3199719376
65	0.3191849739
66	0.3190100637
67	0.3182135096
68	0.3179116091
69	0.3175673914
70	0.3172094721
71	0.3170913174
72	0.3167074263
73	0.3163672848
74	0.316233444
75	0.3156465951
76	0.3154619109
77	0.3147641648
78	0.3143944823
79	0.3138377788
80	0.3134863656
81	0.3131578995
82	0.3128249802
83	0.3125107856
84	0.3119764832
85	0.3117312814
86	0.3113504723
87	0.3110706821
88	0.3108404014
89	0.3107745651
90	0.3105275267
91	0.3103633588
92	0.3094388155
93	0.3092122082
94	0.3089790086
95	0.3087653446
96	0.3081671971
97	0.3080130753
98	0.3076243028
99	0.3074508352
