iter	Passed	Remaining
0	0	53
1	1	58
2	1	58
3	2	59
4	3	57
5	3	54
6	4	53
7	4	53
8	5	53
9	5	53
10	6	52
11	7	51
12	7	50
13	8	50
14	8	49
15	9	49
16	9	48
17	10	48
18	11	47
19	11	47
20	12	46
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	15	42
27	16	42
28	17	42
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	24	31
44	25	31
45	25	30
46	26	29
47	27	30
48	28	29
49	29	29
50	29	28
51	30	28
52	31	27
53	31	27
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	43	14
75	43	13
76	44	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	51	3
94	52	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
